GenreID,GenreName,,,
1,Platformer,,,
2,Shooter,,,
3,Fighting,,,
4,Beat 'em up,,,
5,Stealth,,,
6,Survival,,,
7,Rythm,,,
8,Survival Horror,,,
9,Metroidvania,,,
10,Text Adventure,,,
11,Visual Novel,,,
12,Graphic Adventure,,,
13,Interactive Movie,,,
14,Action RPG,,,
15,JRPG,,,
16,MMORPG,,,
17,Roguelike,,,
18,Sandbox RPG,,,
19,Life Simulator,,,
20,Vehicle Simulator,,,
21,Tycoon,,,
22,Real Time Strategy (RTS),,,
23,Multiplayer Online Battle Arena (MOBA),,,
24,Tower Defense,,,
25,Racing,,,
26,Turn Based Strategy (TBS),,,
27,Racing,,,
28,Sports Game,,,
29,MMO ,,,
30,Casual,,,
31,Party,,,
32,Trivia,,,
33,First Person,,,
34,Third Person,,,
35,Card Game,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
